longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-1.327803054690297,1.0525227849496634,0.982118865674763,-0.8047995998018056,-0.9706826023275051,-0.9744049915469928,-0.9770091850452349,2.344708956117614,452600.0
-1.322811868435196,1.0431592803959975,-0.6070042082805059,2.045840537357128,1.3486167608648048,0.8614179998296605,1.6699205725917925,2.3321814648403056,358500.0
-1.332794240945391,1.0384775281191663,1.856136556350161,-0.5357329073251543,-0.8258747608180569,-0.8207574684591921,-0.8436164798678749,1.782656217213846,352100.0
-1.337785427200492,1.0384775281191663,1.856136556350161,-0.6241994689060636,-0.7190493039668246,-0.7660095004623895,-0.7337636638394607,0.9329449075937367,341300.0
-1.337785427200492,1.0384775281191663,1.856136556350161,-0.46239275264668045,-0.6122238471155924,-0.7598282782692021,-0.62914193428859,-0.012880683843030762,342200.0
-1.337785427200492,1.0384775281191663,1.856136556350161,-0.7869229370989276,-0.7712750828718715,-0.8940491030355567,-0.8017677880475266,0.08744451941137864,269700.0
-1.337785427200492,1.033795775842335,1.856136556350161,-0.04618737484634086,-0.11607894751764687,-0.2927044868126126,0.03782159159821035,-0.1113636089684241,299200.0
-1.337785427200492,1.033795775842335,1.856136556350161,0.21462855022898208,0.3539530626277752,-0.23707348707392614,0.38568884235485523,-0.3951270773548459,241400.0
-1.3427766134555932,1.033795775842335,1.0615750193725264,-0.03701985551153162,0.3017272837227283,-0.19380493172161445,0.2496805939387234,-0.9423363181905429,226700.0
-1.337785427200492,1.033795775842335,1.856136556350161,0.4186058554284877,0.4014310434505451,0.11084101922833524,0.5609302393525636,-0.09446728669944973,261100.0
-1.3427766134555932,1.0384775281191663,1.856136556350161,-0.19882657177091473,-0.24664339478026412,-0.4551823273192524,-0.25511925114422745,-0.3513861309202111,281500.0
-1.3427766134555932,1.0384775281191663,1.856136556350161,0.39752056095842647,0.5082565003017774,0.06933852735979137,0.6132411041279989,-0.3159091178071618,241800.0
-1.3427766134555932,1.0384775281191663,1.856136556350161,-0.0663559173829212,-0.1516874331347243,-0.28917235984507694,-0.08249339738529089,-0.4188135104421933,213500.0
-1.3427766134555932,1.033795775842335,1.856136556350161,-0.8891407776820507,-0.8235008617769184,-0.9540952614836627,-0.8514631095841901,-0.6300964935813322,191300.0
-1.3427766134555932,1.0384775281191663,1.856136556350161,0.0033172295616290468,0.20914522111832698,-0.18850674127031097,0.31506917490801756,-1.0285022981105156,159200.0
-1.3427766134555932,1.0384775281191663,1.697224248954634,-0.6947893677840947,-0.6051021499921769,-0.6432680883405257,-0.6160642180947312,-0.918860431175083,140000.0
-1.3477677997106872,1.0384775281191663,1.856136556350161,-0.3070032999216638,-0.4531726113593132,-0.5584970411196701,-0.44082282109702287,-0.5767230643578428,152500.0
-1.3477677997106872,1.0384775281191663,1.856136556350161,-0.6452847633761248,-0.5813631595807919,-0.6865366436928374,-0.5140580317826323,-0.9213869840377333,155500.0
-1.3427766134555932,1.033795775842335,1.697224248954634,-0.18186666100151763,-0.19679151491635571,-0.38453978796853944,-0.21065501608510745,-0.9893407287394345,158700.0
-1.3477677997106872,1.033795775842335,1.856136556350161,-0.5192313725224977,-0.5694936643750994,-0.6494493105337131,-0.5872932424682418,-0.6670999657155661,162900.0
-1.3477677997106872,1.0384775281191663,0.9026627119769997,-0.8639300995113253,-0.840118155064888,-0.8975812300030924,-0.8723874554943643,-1.3226877970553703,147500.0
